Fist Last Nickname HT WT Reach Stance W L D Belt
Steve Garcia Mean_Machine 72 135  NA NA 6 0 0 NA
Rulon Gardner NA 75 265  NA Orthodox 1 0 0 NA
David Gardner NA 71 155  NA Orthodox 18 19 0 NA
Pablo Garza The_Scarecrow 73 145  73.0 Orthodox 13 4 0 NA
Azamat Gashimov NA 66 125  66.0 Orthodox 10 3 0 NA
Brian Gassaway NA 73 170  NA Orthodox 29 20 2 NA
Kelvin Gastelum NA 69 185  71.0 Southpaw 14 2 0 NA
Willie Gates Whoop_Ass 68 125  70.0 Orthodox 12 7 0 NA
Louis Gaudinot Goodnight 63 125  63.0 Orthodox 6 4 0 NA
Charlene Gellner Princess 62 125  NA NA 0 2 0 NA
Chad George Savage 66 135  68.0 Southpaw 13 6 0 NA
Paul Georgieff NA 74 170  NA Orthodox 6 2 0 NA
Brian Geraghty Duke 67 155  NA Orthodox 24 17 1 NA
Derek Getzel The_Pretzel 72 155  NA NA 3 2 0 NA
Darrel Gholar NA 68 194  NA Orthodox 5 6 0 NA
Tiki Ghosn NA 70 170  NA Orthodox 10 7 1 NA
Christos Giagos The_Spartan 70 155  71.0 Orthodox 11 4 0 NA
Nick Gibbons NA 70 155  NA NA 2 1 0 NA
James Giboo NA 71 170  NA Orthodox 13 5 0 NA
Lance Gibson Fearless 69 185  NA Orthodox 4 5 0 NA
Lee Gibson Lethal 67 155  NA NA 12 3 0 NA
Cody Gibson The_Renegade 70 135  71.0 Orthodox 12 6 0 NA
Kenny Giddens NA 71 155  NA NA 12 7 0 NA
Joe Gigliotti Capo 71 185  69.0 Orthodox 7 2 0 NA
Joey Gilbert NA 71 155  NA Orthodox 2 3 0 NA
Kultar Gill Black_Mamba 72 154  NA Orthodox 10 8 0 NA
Jesse Gillespie NA NA 185  NA NA 3 2 0 NA
Gregor Gillespie The_Gift 69 155  71.0 Orthodox 8 0 0 NA
Jason Gilliam NA 72 170  NA Orthodox 14 5 0 NA
Krishaun Gilmore NA NA NA NA NA 0 1 0 NA
Bob Gilstrap NA 75 200  NA Orthodox 5 6 0 NA
Demetrius Gioulacos NA 71 185  NA NA 0 1 0 NA
Billy Giovanella Wolverine 68 125  NA NA 9 4 0 NA
He-Man Gipson NA NA NA NA NA 1 2 0 NA
Israel Giron El_Rojo 68 155  NA NA 18 4 0 NA
Brandon Girtz Cold_Roll 67 155  NA NA 13 4 0 NA
Jason Glaza NA 72 230  NA NA 2 2 0 NA
Mike Glenn NA NA 205  NA NA 5 6 0 NA
Rick Glenn The_Gladiator 72 155  70.0 Southpaw 18 4 1 NA
Mark Godbeer The_Hand_Of 76 240  77.0 Orthodox 11 3 0 NA
Clint Godfrey NA 66 135  NA Southpaw 12 3 0 NA
Jason Godsey NA 74 230  NA Orthodox 16 16 0 NA
Allan Goes NA 72 205  NA Orthodox 10 5 2 NA
Jonny Goh NA 71 155  NA NA 3 4 0 NA
Sergio Gomez NA 66 155  NA Orthodox 10 3 0 NA
Frank Gomez NA 70 135  67.0 Orthodox 10 4 0 NA
Alan Gomez NA NA 155  NA NA 2 0 0 NA
David Gomez NA NA 155  NA NA 1 2 0 NA
Ulysses Gomez Useless 66 125  66.0 Orthodox 9 4 0 NA
Joey Gomez KO_King 70 135  73.0 Orthodox 6 2 0 NA
Takanori Gomi The_Fireball_Kid 67 155  70.0 Southpaw 35 12 0 NA
Akihiro Gono NA 67 170  68.0 Switch 32 16 7 NA
Gabriel Gonzaga Napao 74 242  76.0 Orthodox 17 11 0 NA
Fernando Gonzalez The_Menifee_Maniac 69 170  68.0 Southpaw 19 11 0 NA
Nick Gonzalez The_Ghost 66 155  NA Orthodox 17 9 0 NA
Fabian Gonzalez NA 70 135  NA NA 2 1 0 NA
Lewis Gonzalez Lethal 70 170  73.0 Orthodox 10 2 0 NA
Jason Gonzalez Nicoyas 74 155  74.0 Southpaw 10 3 0 NA
Kier Gooch NA NA 155  NA NA 2 7 0 NA
Lyman Good Cyborg 72 170  74.0 Orthodox 19 3 0 NA
Gary Goodridge Big_Daddy 75 249  NA Orthodox 23 22 1 NA
Jordan Goodwin NA NA 155  NA NA 0 0 0 NA
Gerard Gordeau NA 77 216  NA Orthodox 2 2 0 NA
Eddie Gordon Truck 72 185  76.0 Orthodox 8 4 0 NA
Tim Gorman The_Psycho 65 135  68.0 Southpaw 9 4 0 NA
Chase Gormley NA 75 265  NA Orthodox 7 4 0 NA
Jonathan Goulet The_Road_Warrior 72 170  73.0 Orthodox 23 12 0 NA
Thibault Gouti GT 70 155  72.0 Orthodox 11 3 0 NA
Wilson Gouveia NA 73 185  76.0 Orthodox 12 8 0 NA
Todd Gouwenberg NA 73 205  NA Orthodox 9 5 0 NA
Hugo Govea NA NA NA NA NA 0 1 0 NA
Justin Governale The_Therapist NA 145  NA NA 4 2 0 NA
Damian Grabowski The_Polish_Pitbull 73 241  NA Orthodox 20 4 0 NA
Royce Gracie NA 73 175  NA Southpaw 14 2 3 NA
Crosley Gracie NA 69 190  NA Orthodox 2 2 0 NA
Daniel Gracie NA 74 225  NA Orthodox 5 4 1 NA
Ralph Gracie NA 69 183  NA Orthodox 6 1 0 NA
Renzo Gracie NA 70 185  NA Orthodox 14 6 1 NA
Rickson Gracie NA 70 185  NA Switch 11 0 0 NA
Rodrigo Gracie NA 72 183  NA Orthodox 6 2 1 NA
Royler Gracie NA 68 150  NA Southpaw 5 5 1 NA
Ryan Gracie NA 69 200  NA Orthodox 5 2 0 NA
Ralek Gracie NA 74 210  NA Orthodox 3 0 0 NA
Rolles Gracie NA 76 242  NA Orthodox 5 1 0 NA
Cesar Gracie NA 70 181  NA Orthodox 0 1 0 NA
Roger Gracie NA 76 185  79.0 Orthodox 6 2 0 NA
Igor Gracie NA 71 170  NA NA 4 2 0 NA
Neiman Gracie NA 72 170  NA NA 3 0 0 NA
Steven Graham NA 73 290  NA Orthodox 2 1 0 NA
Scott Graham NA 76 185  NA Orthodox 3 1 0 NA
TJ Grant NA 70 155  72.0 Orthodox 21 5 0 NA
Davey Grant Dangerous 68 135  69.0 NA 10 3 0 NA
Alexa Grasso NA 65 115  66.0 Orthodox 9 0 0 NA
Michael Graves NA 70 170  71.0 NA 6 0 1 NA
Sam Greco NA 74 205  NA Orthodox 3 1 1 NA
Bobby Green King 70 155  71.0 Orthodox 23 7 0 NA
Matt Grice The_Real_One 68 145  70.0 Orthodox 15 5 0 NA
Forrest Griffin NA 75 205  77.0 Orthodox 19 7 0 NA
Tyson Griffin NA 66 145  68.0 Orthodox 15 6 0 NA
Max Griffin Pain 71 170  76.0 Orthodox 13 3 0 NA
Chad Griggs The_Grave_Digger 73 205  73.0 Orthodox 11 3 0 NA
Chuck Grigsby The_Reverend 78 205  NA Orthodox 19 8 0 NA
Rodrigo Gripp de Sousa Riscado 71 205  NA Orthodox 7 9 0 NA
Josh Grispi The_Fluke 71 145  74.0 Orthodox 14 5 0 NA
Garrett Gross NA 72 155  NA NA 7 4 0 NA
Kendall Grove Da_Spyder 78 185  79.0 Orthodox 13 10 0 NA
Neil Grove Goliath 78 265  NA Orthodox 11 5 1 NA
Chris Gruetzemacher Gritz 68 155  69.0 NA 13 1 0 NA
Vik Grujic The_Spartan 71 170  73.0 Orthodox 7 6 0 NA
Nandor Guelmino The_Hun 75 230  76.0 NA 11 5 1 NA
Fabricio Guerreiro NA 70 145  NA NA 20 4 0 NA
Shannon Gugerty NA 70 155  71.0 Orthodox 14 6 0 NA
Clay Guida The_Carpenter 67 145  70.0 Orthodox 32 14 0 NA
Melvin Guillard The_Young_Assassin 69 155  68.0 Orthodox 48 15 3 NA
Chris Guillen NA 72 240  NA Orthodox 13 12 0 NA
Marcelo Guimaraes Magrao 72 185  73.0 Orthodox 9 2 1 NA
Leonardo Augusto Leleco Leleco 72 185  73.0 Orthodox 11 3 0 NA
Brad Gumm NA 71 170  NA Orthodox 10 6 1 NA
John Gunderson Quick_Guns 69 155  69.0 Orthodox 32 12 2 NA
Jorge Gurgel NA 67 155  69.0 Orthodox 14 9 0 NA
Fabio Gurgel NA 72 205  NA Orthodox 3 2 0 NA
Andre Gusmao NA 72 205  NA Orthodox 6 3 0 NA
Alexander Gustafsson The_Mauler 77 205  79.0 Orthodox 17 4 0 NA
Justin Guthrie NA 73 170  NA NA 18 8 0 NA
Horacio Gutierrez The_Punisher 70 145  69.0 NA 3 3 0 NA
Mike Guymon The_Joker 72 170  74.0 Orthodox 12 5 1 NA
NA NA NA NA NA NA NA NA NA NA NA
Keith Hackney The_Giant_Killer 71 200  NA Sideways 2 2 0 NA
Steve Hadsel NA 68 170  NA NA 3 0 0 NA
Damir Hadzovic The_Bosnian_Bomber 69 155  70.0 Orthodox 10 3 0 NA
Tim Hague The_Trashing_Machine 76 260  76.0 Orthodox 13 5 0 NA
Stoney Hale The_Skuller 72 NA NA NA 4 2 0 NA
Kevin Haley The_North_Woods_Nightmare 74 205  NA NA 4 3 0 NA
Mark Hall NA 72 190  NA Orthodox 5 6 0 NA
Uriah Hall Prime_Time 72 185  79.0 Orthodox 13 8 0 NA
Ryan Hall The_Wizard 70 145  71.0 NA 6 1 0 NA
Dennis Hallman Superman 69 155  72.0 Orthodox 67 14 2 NA
Piotr Hallmann Pletwal 69 155  71.0 Orthodox 15 5 0 NA
Tony Halme NA 75 300  NA Orthodox 0 4 0 NA
Brandon Halsey Bull 72 185  NA NA 9 1 0 NA
John Halverson The_Hurricane 69 155  NA Southpaw 16 7 0 NA
Seohee Ham NA 62 115  62.0 Southpaw 16 8 0 NA
Frank Hamaker NA NA NA NA NA 1 0 0 NA
Kazuhiro Hamanaka NA 72 185  NA Southpaw 5 7 1 NA
Matt Hamill The_Hammer 73 205  76.0 Orthodox 12 5 0 NA
Jeremy Hamilton Hawk NA 185  NA NA 8 1 0 NA
Anthony Hamilton Freight_Train 77 260  76.0 Orthodox 15 6 0 NA
Jared Hamman The_Messenger 75 185  75.0 Orthodox 13 6 0 NA
James Hammortree The_Sledge 75 185  NA Orthodox 6 2 0 NA
Dean Hancock NA NA 155  NA NA 2 0 0 NA
Joachim Hansen Hellboy 67 150  NA Southpaw 22 11 1 NA
Antoni Hardonk NA 76 245  78.0 Orthodox 8 6 0 NA
Dan Hardy The_Outlaw 72 170  74.0 Orthodox 25 10 0 NA
Baru Harn Seiryu NA 265  NA NA 1 2 0 NA
Scott Harper NA 72 185  NA Orthodox 12 7 0 NA
Gerry Harris NA 80 270  NA Orthodox 1 4 0 NA
Gerald Harris NA 71 185  77.0 Southpaw 19 4 0 NA
Phil Harris Billy 64 125  64.0 Orthodox 22 12 0 NA
Walt Harris The_Big_Ticket 77 250  77.0 Southpaw 8 5 0 NA
Dhafir Harris Dada_5000 NA 257  NA NA 2 0 0 NA
Collin Hart NA 73 185  76.0 Orthodox 4 2 1 NA
Dale Hartt NA 70 155  69.0 Orthodox 6 3 0 NA
Luke Hartwig NA NA NA NA NA 0 1 0 NA
Clay Harvison Bushwacker 73 170  74.0 NA 9 3 0 NA
Hidehiko Hasegawa NA 69 170  NA NA 19 15 6 NA
Chris Haseman The_Hammer 71 205  NA Orthodox 20 16 0 NA
Takayo Hashi NA 64 135  NA Orthodox 13 4 0 NA
Tomohiko Hashimoto NA 72 250  NA Orthodox 1 4 0 NA
Justin Haskins NA 70 170  NA Orthodox 7 6 0 NA
Hayder Hassan Hulk 70 170  70.0 NA 6 3 0 NA
Daiki Hata DJ_Taiki 66 139  NA Orthodox 11 9 4 NA
John Hathaway The_Hitman 73 170  75.0 Orthodox 17 2 0 NA
Chris Hawk NA 73 205  NA NA 4 8 0 NA
Del Hawkins The_Filipino_Delight 65 135  NA Orthodox 22 15 0 NA
Tommy Hayden Wild_Card 69 145  72.0 Southpaw 8 2 0 NA
Mike Hayes NA 76 230  NA Orthodox 16 4 1 NA
Ryan Hayes NA NA NA NA NA 2 2 0 NA
Gerric Hayes NA 70 NA NA NA 7 8 0 NA
Josh Haynes Bring_the_Pain 69 170  NA Orthodox 14 11 0 NA
Dustin Hazelett McLovin 73 170  76.0 Orthodox 12 7 0 NA
James Head NA 73 170  73.0 Orthodox 9 4 0 NA
Pat Healy Bam_Bam 72 155  74.0 Orthodox 31 19 0 NA
Ryan Healy The_Irish_Assassin 73 155  NA Orthodox 19 9 1 NA
Spencer Hearns NA 71 185  NA NA 1 0 0 NA
David Heath NA 71 205  72.0 Orthodox 16 7 0 NA
Chris Heatherly Stump 69 155  68.0 Orthodox 9 3 0 NA
Jake Hecht Hitman 72 170  76.0 Orthodox 11 4 0 NA
Nick Hein Sergeant 66 155  66.0 Southpaw 14 2 0 NA
Marcin Held NA 69 155  71.0 Orthodox 22 5 0 NA
Delson Heleno Pe_De_Chumbo 71 185  NA Orthodox 23 7 0 NA
Matt Helm NA NA 155  NA NA 0 1 0 NA
Elisha Helsper Knuckles 66 135  NA Orthodox 0 2 0 NA
Dan Henderson Hendo 71 185  74.0 Orthodox 32 15 0 NA
Benson Henderson Smooth 69 170  70.0 Southpaw 23 5 0 NA
Ron Henderson NA 70 125  NA NA 3 1 0 NA
Josh Hendricks NA 74 235  NA Southpaw 18 7 0 NA
Johny Hendricks Bigg_Rigg 69 170  69.0 Southpaw 17 5 0 NA
Cory Hendricks NA 75 205  NA NA 3 1 0 NA
Luis Henrique KLB 74 243  74.0 Orthodox 10 2 0 NA
Henrique da Silva Frankenstein 75 205  76.0 Orthodox 12 1 0 NA
TJ Hepburn The_Carnivore 67 155  NA NA 4 2 0 NA
Ed Herman Short_Fuse 73 205  77.0 Orthodox 24 12 0 NA
Dave Herman NA 76 242  76.0 Orthodox 21 6 0 NA
Jack Hermansson The_Joker 73 185  77.0 Orthodox 14 3 0 NA
Noe Hernandez NA NA NA NA Orthodox 5 5 0 NA
Joe Hernandez NA NA NA NA NA 0 1 0 NA
Junior Hernandez Hot_Handed 69 135  69.0 Orthodox 14 6 0 NA
Paul Herrera The_Bone_Crusher 70 185  NA Orthodox 1 1 0 NA
Chris Herrera The_Crusher 70 185  NA NA 3 1 1 NA
Geane Herrera The_Revolutionary 65 125  66.0 Orthodox 9 3 0 NA
Alvaro Herrera Chango 72 170  74.0 NA 9 4 0 NA
Felice Herrig Lil_Bulldog 64 115  65.0 NA 11 6 0 NA
Heath Herring The_Texas_Crazy_Horse 76 250  78.0 Orthodox 28 14 0 NA
Jon Hess NA 79 295  NA NA 1 1 0 NA
Clint Hester Headbussa 74 205  77.0 Orthodox 11 6 0 NA
Brandon Hester The_Beast 73 205  NA NA 3 0 0 NA
Jimy Hettes The_Kid 69 145  71.0 Southpaw 11 3 0 NA
Conor Heun Hurricane 70 155  NA Orthodox 9 4 0 NA
Marcus Hicks The_Wrecking_Ball 66 155  64.0 Southpaw 9 3 0 NA
Jay Hieron The_Thoroughbred 72 170  75.0 Orthodox 23 7 0 NA
Lee Higgins NA NA 155  NA NA 2 1 0 NA
Jason High The_Kansas_City_Bandit 68 155  71.0 Southpaw 19 5 0 NA
Richie Hightower The_Dirty_Samurai 68 170  NA Orthodox 8 4 0 NA
Alex Higley NA 70 145  NA NA 2 2 0 NA
Corey Hill NA 76 155  80.0 Orthodox 4 4 0 NA
Isaiah Hill NA 70 155  NA NA 5 7 1 NA
Angela Hill Overkill 63 115  64.0 NA 2 2 0 NA
Branden Lee Hinkle The_Iron_Lion 75 235  NA Orthodox 15 11 0 NA
Hatsu Hioki NA 71 145  70.0 Orthodox 27 9 2 NA
Alan Hiro Yamaniha 65 135  NA Orthodox 11 4 4 NA
Kuniyoshi Hironaka NA 70 168  70.0 Orthodox 19 8 0 NA
Mizuto Hirota Pugnus 67 145  67.0 Orthodox 19 7 2 NA
Yuji Hisamatsu NA 70 185  NA NA 15 19 6 NA
Kwan Ho Kwak The_Handsome 65 135  70.0 Switch 9 1 0 NA
Matt Hobar The_Crowbar 70 135  70.0 Southpaw 9 3 0 NA
Bobby Hoffman The_Truth 74 245  NA Orthodox 36 10 1 NA
Sam Hoger The_Alaskan_Assassin 74 205  NA Orthodox 10 4 0 NA
Andrew Holbrook NA 71 155  70.0 Southpaw 12 1 0 NA
Sean Holden NA 70 170  NA NA 3 1 0 NA
Chris Holdsworth Holds_it_Down 71 135  71.0 NA 7 0 0 NA
Roger Hollett The_Hulk 71 205  70.0 Orthodox 13 5 0 NA
Max Holloway Blessed 71 145  69.0 Orthodox 17 3 0 NA
Gabrielle Holloway Gabanator 63 145  NA NA 4 3 0 NA
Jeremie Holloway Hit_Em 72 170  NA NA 7 1 0 NA
Holly Holm The_Preacher's_Daughter 68 135  69.0 Southpaw 10 2 0 NA
Rex Holman Big_Dog 75 205  NA Southpaw 4 2 0 NA
Kurt Holobaugh NA 71 145  70.0 Orthodox 8 2 0 NA
Paddy Holohan The_Hooligan 70 125  69.0 Orthodox 12 2 1 NA
Ben Holscher The_Teacher 71 155  NA NA 4 0 0 NA
Mark Holst Boots 72 155  NA Orthodox 9 3 0 NA
Scott Holtzman Hot_Sauce 69 155  69.0 Orthodox 9 2 0 NA
Sabah Homasi The_Problem 72 170  72.0 Orthodox 11 6 0 NA
Mark Hominick The_Machine 68 145  68.0 Orthodox 20 12 0 NA
Chris Honeycutt The_Cutt 70 170  73.0 NA 6 1 0 NA
Satoshi Honma NA 73 205  NA Orthodox 4 6 3 NA
David Hood NA 72 200  NA NA 1 3 0 NA
Lorenzo Hood The_Samoan_Silverback 75 265  NA NA 9 2 0 NA
Dan Hooker The_Hangman 72 145  75.0 Switch 14 7 0 NA
Darrell Horcher The_Saint 70 160  70.0 Southpaw 12 2 0 NA
Moti Horenstein NA 76 230  NA Orthodox 1 6 0 NA
Kyoji Horiguchi NA 65 125  66.0 Orthodox 18 2 0 NA
Jeremy Horn Gumby 73 185  74.0 Orthodox 88 21 5 NA
Matt Horning Horndog 64 125  NA NA 20 25 0 NA
Chris Horodecki The_Polish_Hammer 69 155  69.0 Orthodox 18 3 1 NA
Matt Horwich Suave 73 185  NA Orthodox 26 19 1 NA
John Hosman NA 70 135  NA Southpaw 18 8 1 NA
Saeed Hosseini NA NA NA NA NA 0 1 0 NA
Jeff Hougland Hellbound 67 135  68.0 Orthodox 10 6 0 NA
Trey Houston NA 71 185  NA NA 7 2 0 NA
Jamie Houston NA NA 185  NA NA 2 0 0 NA
Brian Houston B-Hue 74 185  78.0 Orthodox 4 2 0 NA
Harold Howard NA 74 240  NA Orthodox 1 3 0 NA
John Howard Doomsday 67 170  71.0 Orthodox 23 12 0 NA
Shane Howell NA 68 125  69.0 Orthodox 13 9 0 NA
Alex Huddleston The_Shaved_Gorilla 79 254  NA NA 6 2 0 NA
Roger Huerta El_Matador 69 155  70.0 Orthodox 21 5 1 NA
Casey Huffman Hellbent 75 185  NA NA 3 1 0 NA
Matt Hughes NA 69 170  73.0 Switch 45 9 0 NA
Mark Hughes NA 69 205  NA Southpaw 6 2 0 NA
David Hulett Hollywood 70 170  NA NA 18 9 0 NA
Bryan Humes NA NA 265  NA NA 6 2 0 NA
Abongo Humphrey NA 71 205  NA Orthodox 7 3 0 NA
Mark Hunt Super_Samoan 70 265  72.0 Orthodox 12 10 1 NA
Alex Hunter NA 69 226  NA Orthodox 2 0 0 NA
Adam Hunter Warhammer 73 185  73.0 Orthodox 7 1 0 NA
Joe Hurley NA 68 155  NA NA 12 5 0 NA
Solomon Hutcherson King 71 185  NA Southpaw 11 7 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Al Iaquinta Raging 69 155  70.0 Orthodox 12 3 1 NA
Minoki Ichihara NA 67 178  NA Orthodox 0 1 0 NA
Valeri Ignatov NA 69 170  NA Orthodox 1 2 0 NA
Sergey Ignatov NA 69 210  NA Orthodox 0 1 0 NA
Fabiano Iha NA 68 155  NA Orthodox 9 5 0 NA
Seichi Ikemoto NA 71 168  NA Orthodox 20 17 5 NA
Mikhail Iloukhine NA 69 205  NA Orthodox 30 11 1 NA
Yusuke Imamura NA 68 220  NA Orthodox 2 6 0 NA
Masakazu Imanari NA 64 139  NA Southpaw 24 9 2 NA
Brad Imes Hillbilly_Heartthrob 79 265  NA Orthodox 13 7 0 NA
Chris Indich The_Savage 70 170  73.0 NA 5 3 0 NA
Chris Inman NA NA NA NA NA 0 0 0 NA
Guto Inocente NA 75 205  77.0 Orthodox 6 4 0 NA
Enson Inoue Yamato_Damashii 70 210  NA Orthodox 12 8 0 NA
Egan Inoue NA 69 190  NA Southpaw 13 8 0 NA
Katsuya Inoue NA 69 168  NA Southpaw 19 9 4 NA
Takeshi Inoue Lion 68 145  NA NA 20 5 0 NA
Jorge Interiano NA 73 205  NA NA 3 3 0 NA
Jason Ireland The_Irish_Tornado 69 161  NA Southpaw 18 8 1 NA
James Irvin The_Sandman 74 205  75.0 Orthodox 15 9 0 NA
Eric Irvin NA 68 155  NA NA 9 4 0 NA
Mitsuhiro Ishida The_Endless_Warrior 66 154  NA Southpaw 20 7 1 NA
Teruto Ishihara Yashabo 67 145  69.0 Southpaw 10 3 2 NA
Satoshi Ishii NA 71 240  NA Orthodox 4 1 1 NA
Yuki Ishikawa NA 71 205  NA Orthodox 0 2 0 NA
Eiji Ishikawa NA 70 170  NA NA 22 17 3 NA
Tokimitsu Ishizawa Kendo_Ka_Shin 72 185  NA Orthodox 1 5 1 NA
Wallid Ismail NA 67 205  NA Orthodox 9 3 0 NA
Leandro Issa Brodinho 67 135  69.0 Orthodox 13 6 0 NA
Tomomi Iwama NA 63 155  NA Orthodox 9 5 1 NA
Tatsuya Iwasaki NA 69 205  NA Orthodox 0 1 0 NA
Yoislandy Izquierdo Cuba 71 155  NA Southpaw 6 2 0 NA
Hiroshi Izumi NA NA 205  NA Orthodox 4 2 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Yves Jabouin Tiger 67 135  68.0 Orthodox 20 11 0 NA
Kevin Jackson NA 70 199  NA Switch 4 2 0 NA
Eugene Jackson The_Wolf 68 185  NA Orthodox 15 9 1 NA
Rampage Jackson Rampage 73 205  73.0 Orthodox 36 11 0 NA
Jeremy Jackson Scorpion 70 170  NA Orthodox 9 5 0 NA
Damon Jackson The_Leech 71 145  71.0 Switch 9 1 1 NA
Kenyon Jackson NA 72 185  NA NA 3 3 0 NA
Mike Jackson The_Truth 74 170  NA NA 0 1 0 NA
Eric Jacob NA NA 155  NA NA 1 9 0 NA
Dustin Jacoby NA 76 185  78.0 Orthodox 6 3 0 NA
Justin James NA 70 155  NA Orthodox 13 7 0 NA
Nate James NA 72 185  NA NA 13 7 1 NA
Ryan Janes NA 75 185  76.0 Orthodox 9 1 0 NA
Josh Janousek NA 71 185  73.0 Orthodox 8 1 0 NA
Dave Jansen NA 69 155  73.0 Orthodox 15 3 0 NA
Jaime Jara El_Cucui 73 205  NA Southpaw 32 10 0 NA
Keith Jardine The_Dean_of_Mean 74 185  76.0 Orthodox 17 10 2 NA
Brock Jardine The_Machine 71 170  73.0 Orthodox 9 3 0 NA
Josh Jarvis NA NA NA NA NA 0 3 0 NA
Rony Jason NA 67 145  70.0 Orthodox 15 6 0 NA
Louis Jauregui NA 67 170  NA NA 2 2 0 NA
Joanna Jedrzejczyk NA 66 115  65.0 Orthodox 13 0 0 NA
Trent Jenkins NA 74 185  NA NA 0 4 0 NA
Bubba Jenkins The_Highlight_Kid 67 145  NA NA 10 2 0 NA
Adrienna Jenkins AJ 68 145  NA NA 18 6 0 NA
Steve Jennum NA 70 215  NA Orthodox 2 3 0 NA
Ryan Jensen NA 73 185  76.0 Orthodox 15 8 0 NA
Kyle Jensen NA 69 170  NA Orthodox 40 11 2 NA
Maciej Jewtuszko Irokez 72 155  NA Southpaw 8 1 0 NA
Ronald Jhun The_Machine_Gun 71 170  NA Orthodox 24 24 2 NA
Gilbert Jimenez NA NA 155  NA NA 7 12 1 NA
Art Jimmerson NA 73 196  NA Orthodox 0 1 0 NA
Ryan Jimmo The_Big_Deal 73 205  73.0 Orthodox 19 5 0 NA
Li Jingliang The_Leech 72 170  71.0 Orthodox 11 4 0 NA
Phil Johns NA 62 170  NA Southpaw 30 13 1 NA
Brett Johns The_Pikey 67 135  71.0 Orthodox 13 0 0 NA
Anthony Johnson Rumble 74 205  78.0 Orthodox 22 5 0 NA
DaMarques Johnson Darkness 73 170  75.0 Orthodox 18 12 0 NA
Devin Johnson NA NA NA NA NA 1 1 1 NA
Travis Johnson NA NA 205  NA NA 0 1 0 NA
Ricky Johnson NA 68 145  NA Orthodox 5 4 0 NA
Tony Johnson NA NA 185  NA NA 4 2 0 NA
Lavar Johnson Big 76 240  82.0 Orthodox 17 7 0 NA
Demetrious Johnson Mighty_Mouse 63 125  66.0 Orthodox 24 2 1 NA
Michael Johnson The_Menace 70 155  73.0 Southpaw 18 11 0 NA
Deshaun Johnson NA NA 167  NA NA 6 9 0 NA
Kajan Johnson Ragin' 71 155  75.0 Orthodox 21 12 1 NA
Dashon Johnson Flyboy 67 145  70.0 Orthodox 9 2 0 NA
Tim Johnson NA 75 265  77.0 Southpaw 10 3 0 NA
Tony Johnson NA 73 265  NA NA 10 2 0 NA
Brian Johnston NA 75 230  NA Orthodox 5 5 0 NA
Daniel Jolly The_Werewolf_of_Texas 73 205  75.0 Orthodox 5 1 0 NA
Paul Jones NA 69 199  NA Orthodox 11 1 1 NA
Jon Jones Bones 76 205  84.0 Orthodox 22 1 0 NA
Nathan Jones NA 83 345  NA Orthodox 0 1 0 NA
Marcus Jones The_Darkness 78 265  NA Orthodox 4 2 0 NA
Carlton Jones NA 73 225  NA Orthodox 1 4 0 NA
Jesse Jones NA 69 170  NA NA 2 1 0 NA
Tito Jones NA 68 145  NA Southpaw 7 6 0 NA
Roy Jones NA NA 205  NA NA 6 2 0 NA
Justin Jones Lazy_Bones 71 205  78.0 Orthodox 3 2 0 NA
Ben Jones Blitzkrieg NA 185  NA NA 4 4 0 NA
Victor Jones NA NA 145  NA NA 0 1 0 NA
Chris Jones Lionheart 69 149  NA NA 10 3 0 NA
Roshaun Jones NA 68 135  NA NA 2 4 0 NA
Jocelyn Jones-Lybarger NA 67 115  63.0 Orthodox 6 3 0 NA
Kevin Jordan The_Shaman 75 245  NA Orthodox 11 9 0 NA
Joe Jordan NA 66 155  NA Orthodox 49 13 2 NA
Shawn Jordan The_Savage 72 260  75.0 Southpaw 18 7 0 NA
Ivan Jorge Batman 69 155  73.0 Orthodox 26 5 0 NA
Scott Jorgensen Young_Guns 65 135  66.0 Orthodox 15 12 0 NA
Gareth Joseph NA NA 205  NA NA 9 4 0 NA
Jeff Joslin The_Inferno 72 170  NA Orthodox 5 3 0 NA
Krzysztof Jotko NA 73 185  77.0 Southpaw 19 1 0 NA
Alan Jouban Brahma 72 170  73.0 Southpaw 15 4 0 NA
Mike Joy NA 66 155  NA Southpaw 10 6 0 NA
Tony Juarez NA NA 155  NA NA 1 7 0 NA
Jesse Juarez NA 73 170  NA Orthodox 16 8 0 NA
Steve Judson NA 71 230  NA Orthodox 0 2 0 NA
Bu-Kyung Jung NA 67 154  NA Orthodox 0 4 0 NA
Chan Sung Jung The_Korean_Zombie 67 145  74.0 Orthodox 13 4 0 NA
Young Sam Jung NA 68 139  NA Orthodox 3 4 0 NA
Scott Junk NA 73 265  NA Orthodox 8 3 1 NA
Myles Jury Fury 70 145  73.0 Orthodox 15 2 0 NA
Cris Cyborg Cyborg 68 140  68.0 Orthodox 17 1 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Emily Peters Kagan NA 63 115  66.0 NA 3 3 0 NA
Sirwan Kakai Zohan 65 135  66.0 Orthodox 12 3 0 NA
Geza Kalman NA 73 200  NA NA 4 9 0 NA
Bryson Kamaka NA 71 170  NA Orthodox 12 18 1 NA
Martin Kampmann The_Hitman 72 170  72.0 Orthodox 20 7 0 NA
Hiromitsu Kanehara NA 70 200  NA Orthodox 19 24 3 NA
