Fist Last Nickname HT WT Reach Stance W L D Belt
Martin Bravo El_Toro 68 155  71.0 Southpaw 12 0 0 NA
Tom Breese NA 75 170  73.0 Southpaw 10 1 0 NA
Chris Brennan The_Westside_Strangler 68 170  NA Orthodox 19 13 1 NA
Charlie Brenneman The_Spaniard 70 155  72.0 Orthodox 19 8 0 NA
Mack Brewer NA NA 205  NA NA 0 1 0 NA
Jason Brilz Hitman 71 205  71.0 Orthodox 18 5 1 NA
Marcus Brimage The_Bama_Beast 64 135  71.0 Southpaw 7 5 0 NA
Aaron Brink NA 75 205  NA Orthodox 25 21 0 NA
Henry Briones Bure 68 135  69.0 NA 19 6 1 NA
Marcelo Brito Jungle_Boy 73 170  NA Orthodox 8 5 0 NA
Antwain Britt The_Juggernaut 73 205  77.0 NA 11 5 0 NA
Drew Brokenshire NA NA NA NA NA 4 2 0 NA
Mike Bronzoulis The_Greek 72 155  NA NA 13 3 1 NA
Jonathan Brookins NA 72 145  73.0 Southpaw 14 6 0 NA
Will Brooks Ill 70 155  72.0 Orthodox 18 2 0 NA
CM Punk CM_Punk 73 170  73.0 Orthodox 0 1 0 NA
Rob Broughton The_Bear 74 265  74.0 NA 15 7 1 NA
Lee Brousseau Manimal 73 205  NA NA 5 3 0 NA
Matt Brown The_Immortal 72 170  75.0 Orthodox 22 16 0 NA
Mike Brown NA 66 145  70.0 Orthodox 26 9 0 NA
Dominic Brown NA 71 190  NA NA 14 21 0 NA
Todd Brown Bulldog 71 205  NA Orthodox 15 4 0 NA
Terrell Brown NA NA 185  NA NA 3 1 0 NA
Chris Brown NA NA 170  NA NA 6 4 0 NA
Frederick Brown NA 72 235  NA NA 3 1 0 NA
Randy Brown Rudeboy 75 170  78.0 Orthodox 9 1 0 NA
Damien Brown Beatdown 70 155  68.0 Orthodox 17 9 0 NA
Humberto Brown El_Gato_Negro 70 145  71.0 NA 4 5 0 NA
Travis Browne Hapa 78 255  79.0 Orthodox 18 5 1 NA
Junie Browning NA 69 155  NA Orthodox 4 5 0 NA
Jules Bruchez NA 72 205  NA Southpaw 1 2 0 NA
Justin Bruckmann Loaf 69 170  NA Orthodox 7 3 0 NA
Steve Bruno Hollywood 70 170  NA Orthodox 14 5 0 NA
Fernando Bruno Acougueiro 66 145  70.0 NA 16 4 0 NA
Derek Brunson NA 73 185  77.0 Southpaw 16 4 0 NA
Josh Bryant The_Beast 70 185  NA Orthodox 12 1 0 NA
Justin Buchholz NA 72 155  73.0 Orthodox 12 6 0 NA
Zak Bucia NA 70 170  NA NA 7 4 0 NA
Courtney Buck NA 70 135  NA Orthodox 10 5 0 NA
Julia Budd NA 67 145  67.0 NA 3 1 0 NA
Mike Budnik NA 69 145  68.0 Orthodox 11 4 0 NA
Francisco Bueno NA 69 225  NA Orthodox 5 2 0 NA
Paul Buentello The_Headhunter 74 245  77.0 Orthodox 29 14 0 NA
Lee Kwan Bum NA 74 286  NA Orthodox 0 1 0 NA
Josh Bumgarner NA 73 170  NA NA 6 3 0 NA
Shawn Bunch Bunch_the_Great 65 135  NA NA 4 2 0 NA
Shane Burgos Hurricane 71 145  75.0 Orthodox 8 0 0 NA
Joshua Burkman The_People's_Warrior 70 170  72.0 Orthodox 29 14 0 NA
Mikey Burnett The_Eastside_Assassin 66 170  NA Orthodox 5 2 0 NA
Kevin Burns The_Fire 70 170  74.0 Orthodox 9 5 0 NA
Gilbert Burns Durinho 70 155  71.0 Orthodox 11 2 0 NA
Josh Burns The_Hammer 73 244  NA NA 0 1 0 NA
Derrick Burnsed NA NA 155  NA NA 8 2 0 NA
Nah-Shon Burrell The_Rock_n_Rolla 71 170  73.0 Orthodox 9 3 0 NA
Martin Buschkamp Barracuda 69 145  70.0 Orthodox 9 0 0 NA
George Bush NA 73 205  NA NA 5 2 0 NA
Bubba Bush The_Fightin'_Texas_Aggie 72 185  73.0 Orthodox 8 3 0 NA
Murilo Bustamante NA 74 183  NA Orthodox 14 8 1 NA
Nick Bustamante NA 69 170  NA NA 3 0 0 NA
Eduardo Bustillos NA 68 135  NA NA 4 2 0 NA
Jason Butcher NA 75 185  NA NA 8 2 0 NA
Todd Butler NA 73 200  NA Southpaw 1 4 0 NA
Goldman Butler NA NA NA NA NA 1 4 0 NA
Ian Butler NA 68 155  NA NA 1 2 0 NA
Raphael Butler The_Silencer 75 261  NA NA 9 2 1 NA
Steve Byrnes The_Sergeant 72 170  NA Orthodox 6 1 0 NA
Michael Byrnes NA 71 155  NA NA 5 2 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Yan Cabral NA 71 155  73.0 Orthodox 12 3 0 NA
Alvin Cacdac NA 66 125  NA Orthodox 16 11 0 NA
Alex Caceres Bruce_Leeroy 70 145  73.0 Southpaw 12 9 0 NA
Travis Calanoc The_Dark_Knight 68 145  NA Orthodox 5 1 0 NA
Joanne Calderwood JoJo 66 125  65.0 NA 11 2 0 NA
Darrion Caldwell The_Wolf 70 135  NA NA 8 0 0 NA
Joe Camacho NA 69 155  NA Orthodox 13 16 3 NA
Fabricio Camoes Morango 70 155  73.0 Orthodox 14 9 1 NA
Chris Camozzi NA 74 185  76.0 Orthodox 24 12 0 NA
Brian Camozzi The_Mantis 74 170  78.0 Orthodox 7 3 0 NA
Mike Campbell The_Beast 69 155  NA Southpaw 9 4 0 NA
Thomas Campbell NA NA NA NA NA 2 1 0 NA
Shane Campbell Shaolin 72 155  71.0 Orthodox 12 6 0 NA
John Campetella NA 69 235  NA Orthodox 0 1 0 NA
Wagner Campos Galeto 66 145  NA Southpaw 11 4 0 NA
Derek Campos The_Stallion 69 155  NA NA 16 6 0 NA
Will Campuzano NA 69 125  70.0 Orthodox 13 6 0 NA
Chico Camus The_King 66 125  66.0 Orthodox 14 7 0 NA
Asbel Cancio NA 70 225  NA NA 0 1 0 NA
Luiz Cane Banha 74 185  77.0 Southpaw 12 5 0 NA
Guido Cannetti Ninja 66 135  68.0 Southpaw 7 3 0 NA
Jared Cannonier The_Killa_Gorilla 71 240  77.0 Switch 9 1 0 NA
Jose Canseco NA 76 240  NA Orthodox 0 1 0 NA
Cody Canterbury NA 68 155  NA NA 1 10 0 NA
Bo Cantrell Redrum 74 235  NA Orthodox 10 10 0 NA
Steve Cantwell The_Robot 74 185  75.0 Orthodox 7 6 0 NA
Frank Caracci NA NA NA NA NA 2 3 0 NA
Gina Carano Conviction 68 145  NA Orthodox 7 1 0 NA
Dos Caras Jr. NA 76 225  NA Orthodox 9 5 0 NA
Bryan Caraway Kid_Lightning 68 135  68.0 Orthodox 21 8 0 NA
Remo Cardarelli NA NA 135  NA NA 5 2 0 NA
Phil Cardella NA 71 155  NA NA 8 5 0 NA
Edgar Cardenas Kitty_Katt NA 145  NA NA 3 1 0 NA
Chris Cariaso Kamikaze 63 125  63.0 Southpaw 17 8 0 NA
Ronald Carillo NA NA 125  NA NA 2 1 0 NA
Rafael Carino NA 80 245  NA Orthodox 2 1 1 NA
Don Carlo-Clauss NA NA 170  NA NA 7 5 0 NA
Antonio Carlos Junior Cara_de_Sapato 74 185  79.0 Orthodox 7 2 0 NA
Francis Carmont Limitless 75 205  78.0 Orthodox 23 10 0 NA
Liz Carmouche Girlrilla 66 135  66.0 Orthodox 10 5 0 NA
Roan Carneiro Jucao 71 170  74.0 Orthodox 21 10 0 NA
Renato Moicano Moicano 71 145  72.0 Orthodox 10 0 1 NA
Gabriel Carrasco NA 66 135  NA NA 7 0 0 NA
Cody Carrillo NA 70 155  NA NA 8 11 0 NA
Cain Carrizosa The_Insane 68 155  74.0 Orthodox 6 2 0 NA
Roger Carroll The_Leprechaun 70 170  NA NA 16 12 0 NA
Jonny Carson NA 70 155  NA NA 9 5 0 NA
Scott Carson NA 74 215  NA NA 4 2 0 NA
Shonie Carter Mr._International 70 170  NA Southpaw 50 27 7 NA
Bruno Carvalho NA 68 154  NA NA 6 2 0 NA
Antonio Carvalho Pato 69 145  68.0 Orthodox 15 6 0 NA
Rafael Carvalho NA 75 185  NA NA 12 1 0 NA
Shane Carwin The_Engineer 74 265  80.0 Orthodox 12 2 0 NA
Johnny Case Hollywood 70 155  72.0 Orthodox 22 5 0 NA
Kevin Casey King 71 185  77.0 Southpaw 9 5 1 NA
Cortney Casey Cast_Iron 67 115  67.0 Orthodox 6 4 0 NA
Brandon Cash Money 77 255  NA Orthodox 5 3 0 NA
Bendy Casimir NA 65 145  NA Southpaw 19 11 2 NA
Dwayne Cason NA 70 212  NA Orthodox 1 1 0 NA
Joe Cason NA 75 205  NA NA 8 1 0 NA
Eric Castile NA 68 145  NA NA 3 2 0 NA
Gil Castillo NA 69 170  NA Southpaw 8 5 0 NA
Danny Castillo Last_Call 69 155  71.0 Orthodox 17 10 0 NA
Raul Castillo NA 71 185  NA Orthodox 6 1 0 NA
Jenna Castillo NA 62 125  NA NA 1 0 0 NA
Tim Catalfo Obake 71 235  NA Orthodox 4 2 0 NA
Nick Catone The_Jersey_Devil 72 185  72.0 Southpaw 10 4 0 NA
Luke Caudillo Lil'_Hulk 67 155  NA Orthodox 17 16 0 NA
